panel,family,N,J,p,method,time,peak_rss_mb,iters,coef_dev,status,reason
A1,poisson,200000,200,2,tilted,3.164344538000023,80.0703125,9,0.0,ok,
A1,poisson,200000,200,2,dense,3.141408247999834,998.3515625,8,5.551115123125783e-17,ok,
A1,poisson,200000,200,2,statsmodels,14.158432822999885,3971.5546875,7,1.609823385706477e-15,ok,
A1,poisson,200000,200,2,sparse,0.26418434900006105,107.125,9,5.551115123125783e-17,ok,
A1,poisson,200000,200,2,glum,0.8962154190001002,226.70703125,7,2.7755575615628914e-17,ok,
A1,binomial,200000,200,2,tilted,0.09475903099996685,75.62109375,8,0.0,ok,
A1,binomial,200000,200,2,dense,3.118785836000143,996.921875,8,5.551115123125783e-17,ok,
A1,binomial,200000,200,2,statsmodels,14.009291707000102,3971.5703125,7,5.828670879282072e-15,ok,
A1,binomial,200000,200,2,sparse,0.23094556699993518,107.44921875,8,2.7755575615628914e-17,ok,
A1,binomial,200000,200,2,glum,0.36865648100001636,229.1484375,5,2.220446049250313e-16,ok,
A2,poisson,200000,200,2,tilted,0.0769395939998958,79.5546875,9,0.0,ok,
A2,poisson,200000,200,2,dense,3.0486372420000407,998.40234375,8,5.551115123125783e-17,ok,
A2,poisson,200000,200,2,sparse,0.26549045999990994,107.13671875,9,5.551115123125783e-17,ok,
A2,poisson,200000,200,20,tilted,0.4068838109999433,135.33984375,9,0.0,ok,
A2,poisson,200000,200,20,dense,3.3702369250001993,1081.0703125,8,2.7755575615628914e-17,ok,
A2,poisson,200000,200,20,sparse,2.7260010899999543,261.50390625,9,3.209238430557093e-17,ok,
A2,poisson,200000,200,50,tilted,1.1793067749999864,226.5703125,9,0.0,ok,
A2,poisson,200000,200,50,dense,4.361017858000196,1219.45703125,9,5.551115123125783e-17,ok,
A2,poisson,200000,200,50,sparse,12.520749113999955,512.421875,9,5.551115123125783e-17,ok,
