J,N,k,method,time,iters,per_iter,dcoef
100,100000,100,tilted_sparse,0.03633026200009226,5,0.007266052400018453,0.0
100,100000,100,tilted_dense,0.03549866299999849,5,0.007099732599999698,1.1102230246251565e-16
100,100000,100,full_dense,0.36178463000010197,5,0.07235692600002039,1.1102230246251565e-16
400,100000,400,tilted_sparse,0.0363590590000058,6,0.006059843166667633,0.0
400,100000,400,tilted_dense,0.052474487999916164,6,0.008745747999986028,1.1102230246251565e-16
400,100000,400,full_dense,2.5025839479999377,6,0.4170973246666563,2.220446049250313e-16
1600,100000,1600,tilted_sparse,0.0379706690000603,6,0.006328444833343383,0.0
1600,100000,1600,tilted_dense,0.5293223670000771,6,0.08822039450001284,2.220446049250313e-16
6352,99448,6352,tilted_sparse,0.052116278999847054,7,0.007445182714263865,0.0
17365,79750,17365,tilted_sparse,0.052330077999840796,6,0.008721679666640133,0.0
